Ω√¡°,Erlog
2020-03-26,7.117586614635953
2020-03-27,7.098780515294838
2020-03-30,7.109969328315315
2020-03-31,7.105720499764112
2020-04-01,7.114484855028092
2020-04-02,7.114680013472974
2020-04-03,7.115224629308743
2020-04-06,7.110369539043854
2020-04-07,7.106958534644607
2020-04-08,7.107237086178443
2020-04-09,7.106368404552978
2020-04-10,7.099787864071294
2020-04-13,7.104735536784751
2020-04-14,7.1040208314881
2020-04-15,7.110328708551637
2020-04-16,7.11331310385857
2020-04-17,7.104809442669746
2020-04-20,7.104382355479976
2020-04-21,7.114183911119325
2020-04-22,7.118656194117725
2020-04-23,7.113988655822404
2020-04-24,7.117918955004181
2020-04-27,7.110010173483542
2020-04-28,7.1105573378384115
2020-04-29,7.105950184932382
2020-04-30,7.093363096767242
2020-05-01,7.1092256546148525
2020-05-04,7.113801500381127
2020-05-05,7.106712689427518
2020-05-06,7.108268689348363
2020-05-07,7.11050018541697
2020-05-08,7.103708501007039
2020-05-11,7.1067700587177525
2020-05-12,7.108244139731541
2020-05-13,7.109765077445518
2020-05-14,7.112946649866839
2020-05-15,7.115346517602337
2020-05-18,7.116653850626544
2020-05-19,7.110851212992566
2020-05-20,7.1147857083968695
2020-05-21,7.1152002498671125
2020-05-22,7.120064348697076
2020-05-25,
2020-05-26,7.118210675019863
2020-05-27,7.121276685584215
2020-05-28,7.122285844798108
2020-05-29,7.1201290437810805
2020-06-01,7.110524679711841
2020-06-02,7.110753264203379
2020-06-03,7.103387849835764
2020-06-04,7.105597432433821
2020-06-05,7.09239913714566
2020-06-08,7.088275213829464
2020-06-09,7.0876071218751635
2020-06-10,7.081624548961108
2020-06-11,7.0870221750468625
2020-06-12,7.093836426317241
2020-06-15,7.100200418946943
2020-06-16,7.09610860800781
2020-06-17,7.1025158165445195
2020-06-18,7.099738346046723
2020-06-19,7.097035898564561
2020-06-22,7.098978762460139
2020-06-23,7.095420864318509
2020-06-24,7.089701765446009
2020-06-25,7.093064036313266
2020-06-26,7.092939401389568
2020-06-29,7.090834881719985
2020-06-30,7.0904934156613075
2020-07-01,7.091608994754168
2020-07-02,7.089943493553079
2020-07-03,
2020-07-06,7.083941385670008
2020-07-07,7.085424363123212
2020-07-08,7.085591792991417
2020-07-09,7.088275213829464
2020-07-10,7.093686978030221
2020-07-13,7.090185163241793
2020-07-14,7.094433996217501
2020-07-15,7.091717156381025
2020-07-16,7.09254877800787
2020-07-17,7.093288340038064
2020-07-20,7.091958397860755
2020-07-21,7.085600163749013
2020-07-22,7.085759194831555
2020-07-23,7.089168089658053
2020-07-24,7.092715019374092
2020-07-27,7.08668776602808
2020-07-28,7.088533979518577
